cityid,bg_posts
1,0.0567
2,0.153
3,0.0627
4,0.0659
5,0.0677
6,0.007679999999999999
7,0.019
8,0.0105
9,0.136
10,0.0619
11,0.106
12,0.0922
13,-0.0074
14,0.134
15,0.0233
16,0.0892
17,0.0238
18,0.0978
19,0.0157
20,0.0934
21,0.0115
22,0.0548
23,0.282
24,0.136
25,0.336
26,0.0543
27,0.057999999999999996
28,0.0543
29,0.168
30,0.17300000000000001
31,0.094
32,0.0727
33,0.0719
34,0.226
35,0.12
36,0.0643
37,0.0283
38,-0.0339
39,-0.11599999999999999
40,0.124
41,0.17
42,0.0566
43,0.0792
44,-0.11
45,0.174
46,-0.165
47,0.23399999999999999
48,0.19699999999999998
49,0.0507
50,-0.0527
51,0.11900000000000001
52,0.0541
53,0.217
