year,month,day_endofweek,cityid,bg_posts,year_month
2020,2,28,1,0.0567,2020:2
2020,2,28,2,0.153,2020:2
2020,2,28,3,0.0627,2020:2
2020,2,28,4,0.0659,2020:2
2020,2,28,5,0.0677,2020:2
2020,2,28,6,0.007679999999999999,2020:2
2020,2,28,7,0.019,2020:2
2020,2,28,8,0.0105,2020:2
2020,2,28,9,0.136,2020:2
2020,2,28,10,0.0619,2020:2
2020,2,28,11,0.106,2020:2
2020,2,28,12,0.0922,2020:2
2020,2,28,13,-0.0074,2020:2
2020,2,28,14,0.134,2020:2
2020,2,28,15,0.0233,2020:2
2020,2,28,16,0.0892,2020:2
2020,2,28,17,0.0238,2020:2
2020,2,28,18,0.0978,2020:2
2020,2,28,19,0.0157,2020:2
2020,2,28,20,0.0934,2020:2
2020,2,28,21,0.0115,2020:2
2020,2,28,22,0.0548,2020:2
2020,2,28,23,0.282,2020:2
2020,2,28,24,0.136,2020:2
2020,2,28,25,0.336,2020:2
2020,2,28,26,0.0543,2020:2
2020,2,28,27,0.057999999999999996,2020:2
2020,2,28,28,0.0543,2020:2
2020,2,28,29,0.168,2020:2
2020,2,28,30,0.17300000000000001,2020:2
2020,2,28,31,0.094,2020:2
2020,2,28,32,0.0727,2020:2
2020,2,28,33,0.0719,2020:2
2020,2,28,34,0.226,2020:2
2020,2,28,35,0.12,2020:2
2020,2,28,36,0.0643,2020:2
2020,2,28,37,0.0283,2020:2
2020,2,28,38,-0.0339,2020:2
2020,2,28,39,-0.11599999999999999,2020:2
2020,2,28,40,0.124,2020:2
2020,2,28,41,0.17,2020:2
2020,2,28,42,0.0566,2020:2
2020,2,28,43,0.0792,2020:2
2020,2,28,44,-0.11,2020:2
2020,2,28,45,0.174,2020:2
2020,2,28,46,-0.165,2020:2
2020,2,28,47,0.23399999999999999,2020:2
2020,2,28,48,0.19699999999999998,2020:2
2020,2,28,49,0.0507,2020:2
2020,2,28,50,-0.0527,2020:2
2020,2,28,51,0.11900000000000001,2020:2
2020,2,28,52,0.0541,2020:2
2020,2,28,53,0.217,2020:2
